label,rep,ctx,tg_tps,pp_tps,rc
none_c512,1,512,30.6,35.4,0
none_c512,2,512,33.0,135.1,0
none_c512,3,512,32.6,211.2,0
ngram_cache_c512,1,512,28.0,205.3,0
ngram_cache_c512,2,512,25.3,193.5,0
ngram_cache_c512,3,512,14.0,101.8,0
none_c1024,1,1024,30.3,212.1,0
none_c1024,2,1024,28.7,184.5,0
none_c1024,3,1024,28.1,205.7,0
ngram_cache_c1024,1,1024,25.5,189.0,0
ngram_cache_c1024,2,1024,25.1,188.1,0
ngram_cache_c1024,3,1024,26.8,180.5,0
none_c2048,1,2048,30.6,224.5,0
none_c2048,2,2048,31.7,40.3,0
none_c2048,3,2048,22.3,99.5,0
ngram_cache_c2048,1,2048,15.3,148.7,0
ngram_cache_c2048,2,2048,19.6,84.0,0
ngram_cache_c2048,3,2048,27.0,190.9,0
none_c4096,1,4096,32.4,155.1,0
none_c4096,2,4096,28.8,225.3,0
none_c4096,3,4096,29.5,39.2,0
ngram_cache_c4096,1,4096,16.4,148.3,0
ngram_cache_c4096,2,4096,15.0,135.6,0
ngram_cache_c4096,3,4096,26.2,57.1,0
