label,spec,n_max,tg_tps,pp_tps,accept,vram_mib,rc,notes
none,none,0,33.8,289.4,,17935,0,
ngram_cache,ngram-cache,0,26.8,285.2,,17939,0,
ngram_simple_16_8,ngram-simple,0,33.6,276.2,,17936,0,
mtp_nm1,draft-mtp,1,43.3,31.1,,18939,0,
mtp_nm2,draft-mtp,2,47.4,106.8,,19090,0,
dflash2_nm1,draft-dflash,1,28.9,26.2,,1609,0,vram sample likely early
dflash2_nm2,draft-dflash,2,28.3,29.8,,22398,0,
dflash2_nm3,draft-dflash,3,34.2,25.7,,22549,0,
dflash2_nm4,draft-dflash,4,41.1,40.1,,18430,0,
dflash2_nm5,draft-dflash,5,30.2,47.1,,22846,0,
dflash2_nm6,draft-dflash,6,33.1,44.0,,22996,0,
dflash2_nm7,draft-dflash,7,33.5,39.1,,23146,0,
dflash2_ngram_nm1,"draft-dflash,ngram-cache",1,22.6,42.7,,22248,0,
dflash2_ngram_nm3,"draft-dflash,ngram-cache",3,26.4,41.4,,22548,0,
dflash2_ngram_nm5,"draft-dflash,ngram-cache",5,30.2,28.5,,22846,0,
dflash2_ngram_nm7,"draft-dflash,ngram-cache",7,25.5,41.9,,23146,0,
