label,spec,n_max,tg_tps,pp_tps,accept,vram_mib,rc,notes
none,"none",0,26.9,53.6,,17760,0,
ngram_cache,"ngram-cache",0,30.9,293.5,,17781,0,
ngram_simple_16_8,"ngram-simple",0,33.0,275.7,,17783,0,
mtp_nm1,"draft-mtp",1,40.7,57.0,,18806,0,
mtp_nm2,"draft-mtp",2,48.9,81.7,,18986,0,
dflash2_nm1,"draft-dflash",1,35.7,20.4,,22151,0,
dflash2_nm2,"draft-dflash",2,37.4,23.5,,22264,0,
dflash2_nm3,"draft-dflash",3,36.0,14.8,,22416,0,
dflash2_nm4,"draft-dflash",4,43.6,32.0,,22477,0,
dflash2_nm5,"draft-dflash",5,37.0,21.6,,22590,0,
dflash2_nm6,"draft-dflash",6,40.8,23.9,,22728,0,
dflash2_nm7,"draft-dflash",7,29.1,28.2,,22863,0,
dflash2_ngram_nm1,"draft-dflash,ngram-cache",1,25.1,26.6,,21935,0,
dflash2_ngram_nm3,"draft-dflash,ngram-cache",3,29.1,33.6,,22233,0,
dflash2_ngram_nm5,"draft-dflash,ngram-cache",5,33.0,21.0,,22558,0,
dflash2_ngram_nm7,"draft-dflash,ngram-cache",7,28.3,15.5,,22900,0,
